name,age,servnm,rate
ytyty,1,공동육아나눔터 운영,4
ytyty,1,육아종합지원서비스 제공,2
ytyty,1,만 0-5세 보육료 지원사업,3
fvfvf,2,다문화 보육료 지원,5
fvfvf,2,청소년한부모고교생 교육비 지원,4
fvfvf,2,공동육아나눔터 운영,4
fvfvf,2,저소득층 기저귀·조제분유 지원,2
fvfvf,2,만 0-5세 보육료 지원사업,3
xcxcx,77,평생교육바우처,5
xcxcx,77,노후준비 서비스,3
xcxcx,77,특별현금급여(가족요양비),1
xcxcx,77,농업인 안전보험,2
xcxcx,77,노인돌봄종합서비스,5
dfdfd,67,평생교육바우처,5
dfdfd,67,노후준비 서비스,3
dfdfd,67,특별현금급여(가족요양비),1
dfdfd,67,농업인 안전보험,2
dfdfd,67,시설급여,5
avava,13,성폭력 피해아동청소년 전용쉼터 운영지원,4
avava,13,가정폭력상담소 운영지원,5
avava,13,폭력피해여성 주거지원 사업,2
avava,13,성폭력피해자 지원사업,3
avava,13,가정폭력·성폭력피해자 무료 법률지원,1
rtrtr,12,성폭력 피해아동청소년 전용쉼터 운영지원,4
rtrtr,12,가정폭력상담소 운영지원,5
rtrtr,12,폭력피해여성 주거지원 사업,2
rtrtr,12,가정폭력 피해자 치료회복 프로그램 및 의료비지원,4
rtrtr,12,청소년 특별지원,3
fdfdf,15,고교학비 지원,5
fdfdf,15,청소년한부모 자립지원,4
fdfdf,15,스포츠강좌이용권,5
fdfdf,15,한부모가족복지시설 지원,3
fdfdf,15,초·중·고 학생 교육정보화 지원,3
gdgdg,15,고교학비 지원,5
gdgdg,15,청소년한부모 자립지원,4
gdgdg,15,스포츠강좌이용권,5
gdgdg,15,한부모가족복지시설 지원,3
gdgdg,15,방과후학교 자유수강권,4
uiuiu,26,고위험 임산부 의료비 지원,3
uiuiu,26,고용보험 미적용자 출산급여 지원,1
uiuiu,26,의료급여임신·출산진료비지원,2
uiuiu,26,출산육아기고용안정장려금,3
uiuiu,26,산모·신생아 건강관리 지원사업,3
tutut,26,의료급여임신·출산진료비지원,2
tutut,26,출산육아기고용안정장려금,3
tutut,26,산모·신생아 건강관리 지원사업,3
tutut,26,여성장애인 출산비용 지원,5
tutut,26,미숙아 및 선천성이상아 의료비 지원,1
hchch,30,내집마련 디딤돌 대출,5
hchch,30,장기전세주택 공급,4
hchch,30,버팀목대출보증,3
hchch,30,행복주택 공급,2
hchch,30,국민임대주택 공급,3
ysysy,31,내집마련 디딤돌 대출,5
ysysy,31,장기전세주택 공급,4
ysysy,31,버팀목대출보증,3
ysysy,31,행복주택 공급,2
ysysy,31,버팀목 전세자금대출,3
rrrrr,32,버팀목대출보증,3
rrrrr,32,행복주택 공급,2
rrrrr,32,국민임대주택 공급,3
rrrrr,32,장기전세주택 공급,3
rrrrr,32,내집마련 디딤돌 대출,5
ttttt,33,행복주택 공급,5
ttttt,33,버팀목 전세자금대출,4
ttttt,33,버팀목대출보증,2
ttttt,33,내집마련 디딤돌 대출,2
ttttt,33,제대군인 대부지원,1
ppppp,37,제대군인 대부지원,3
ppppp,37,내집마련 디딤돌 대출,5
ppppp,37,기존주택 전세임대주택 지원사업,2
ppppp,37,국가유공자 등 대부지원,3
ppppp,37,영구임대주택 공급,2
frfrf,14,성폭력 피해아동청소년 전용쉼터 운영지원,4
frfrf,14,가정폭력상담소 운영지원,5
frfrf,14,폭력피해여성 주거지원 사업,2
frfrf,14,성폭력피해자 지원사업,3
frfrf,14,가정폭력 피해자 치료회복 프로그램 및 의료비지원,4
ggggg,33,출산육아기고용안정장려금,3
ggggg,33,의료급여,2
ggggg,33,산모·신생아 건강관리 지원사업,3
ggggg,33,표준모자보건수첩 제작·배부,3
ggggg,33,의료급여본인부담면제,4
yyyyy,34,출산육아기고용안정장려금,3
yyyyy,34,의료급여,2
yyyyy,34,산모·신생아 건강관리 지원사업,3
yyyyy,34,모성보호 육아지원,1
yyyyy,34,난임부부 시술비 지원,1
ooooo,37,"산모, 신생아 건강관리지원사업",3
ooooo,37,모성보호 육아지원,1
ooooo,37,출산육아기고용안정장려금,5
ooooo,37,의료급여 수급자 영유아 건강검진비 지원,4
ooooo,37,고위험 임산부 의료비 지원,3
sasas,22,청소년활동지원,4
sasas,22,여성장애인 교육지원,1
sasas,22,국가우수장학금(이공계),2
sasas,22,온라인 정보화교육,3
sasas,22,취업 후 상환 학자금대출,5
qrqrq,25,청소년활동지원,4
qrqrq,25,취업 후 상환 학자금대출,5
qrqrq,25,온라인 정보화교육,3
qrqrq,25,청소년 국제교류,2
qrqrq,25,대학생 근로장학금 지원,4
ukuku,27,취업 후 상환 학자금대출,5
ukuku,27,대학생 근로장학금 지원,4
ukuku,27,온라인 정보화교육,3
ukuku,27,국가보훈대상자 학습보조비 지급,1
ukuku,27,평생교육바우처,3
501,25,치료지원서비스,5
501,25,가정양육수당 지원,1
501,25,건강가정지원센터 운영,2
501,25,아이돌봄 서비스 ,3
501,25,시간제보육,4
502,24,성폭력피해자 지원사업,2
502,24,생계급여(맞춤형 급여),3
502,24,선천성 난청검사 및 보청기 지원,5
502,24,입양비용지원,1
502,24,이동통신요금감면,2
503,25,치료지원서비스,3
503,25,건강가정지원센터 운영,3
503,25,생계급여(맞춤형 급여),5
503,25,결혼이민자 통번역 서비스,3
503,25,국가유공자 의료급여증 발급,2
504,26,다문화가족 지원사업,4
504,26,다문화 보육료 지원,5
504,26,긴급복지 의료지원 ,1
504,26,이동통신요금감면,3
504,26,아이돌봄 서비스 ,4
505,21,이동통신요금감면,2
505,21,입양비용지원,4
505,21,건강가정지원센터 운영,2
505,21,생계급여(맞춤형 급여),3
505,21,통합문화이용권,4
506,24,온라인 정보화교육,1
506,24,난임부부 시술비 지원,4
506,24,치료지원서비스,3
506,24,가정양육수당 지원,2
506,24,건강가정지원센터 운영,1
507,25,아이돌봄 서비스 ,4
507,25,시간제보육,2
507,25,성폭력피해자 지원사업,2
507,25,생계급여(맞춤형 급여),5
507,25,결혼이민자 통번역 서비스,3
508,23,난임부부 시술비 지원,3
508,23,생계급여(맞춤형 급여),2
508,23,통합문화이용권,5
508,23,온라인 정보화 교육,3
508,23,시간제보육,1
509,32,통합문화이용권,5
509,32,다문화 보육료 지원,3
509,32,긴급복지 의료지원 ,2
509,32,성폭력피해자 지원사업,1
509,32,긴급복지 주거지원,4
510,27,청소년활동지원,2
510,27,국가장학금,1
510,27,웹정보 접근성 제고,3
510,27,국가우수장학금(이공계),4
510,27,온라인 정보화교육,2
511,28,고용복지플러스센터,5
511,28,출산육아기고용안정장려금,3
511,28,직장어린이집 설치 지원,2
511,28,중앙가정위탁지원센터 운영지원,1
511,28,산림보호지원단,2
512,26,정보통신보조기기보급,3
512,26,청년희망키움통장,4
512,26,사랑의 그린PC 보급,1
512,26,어촌 가사도우미 지원,2
512,26,여성기업종합지원센터 운영,2
513,29,장기전세주택 공급,2
513,29,버팀목대출보증,2
513,29,폭력피해여성 주거지원 사업,3
513,29,행복주택 공급,4
513,29,국민임대주택 공급,2
514,31,장애인 특화형 일자리 제공,1
514,31,보조공학기기지원,5
514,31,장애인기업종합지원센터 운영,2
514,31,장애인운전교육장 임차 및 순회교육,2
514,31,장애수당,1
515,33,다문화가족 지원사업,4
515,33,다문화 보육료 지원,2
515,33,외국인근로자 등 의료지원,3
515,33,다문화가족 방문교육 서비스,1
515,33,취약계층 환경성질환 예방사업,2
516,34,의료급여,4
516,34,해산급여,2
516,34,고위험 임산부 의료비 지원,1
516,34,모성보호육아지원,1
516,34,고용보험 미적용자 출산급여 지원,1
517,37,긴급복지 장제비 지원,2
517,37,자산형성지원사업,2
517,37,국세감면(34종),4
517,37,사랑의 그린PC 보급,1
517,37,건강가정지원센터 운영,5
518,32,서민층 가스시설 개선,2
518,32,초등돌봄교실,3
518,32,고교학비 지원,4
518,32,취약위기가족돌봄지원사업,1
518,32,기존주택 전세임대주택 지원사업,2
519,30,취약계층 환경성질환 예방사업,3
519,30,사랑의 그린PC 보급,4
519,30,급식비,1
519,30,교육복지 우선지원사업,2
519,30,스포츠강좌이용권,3
520,31,초.중.고 학생 교육정보화 지원,4
520,31,급식비,5
520,31,스포츠강좌이용권,2
520,31,초등돌봄교실,1
520,31,한부모가족 아동양육비 지원,2
521,34,청소년 방과후 아카데미 운영 지원,3
521,34,방과후학교 자유수강권,4
521,34,한부모가족자녀 교육비 지원,5
521,34,교육복지 우선지원사업,4
521,34,복권기금 꿈사다리 장학사업,3
522,36,정신건강복지센터운영,2
522,36,중도시각장애인 재활훈련지원,2
522,36,여성장애인 출산비용 지원,3
522,36,산림복지서비스 이용권,3
522,36,의료급여장애인보장구 지원,4
523,37,장애인문화.예술 지원,4
523,37,중증장애인 지원고용(훈련수당),4
523,37,장애인 창업육성,5
523,37,일반형 일자리 지원,2
523,37,장애인 자립자금 대여 ,2
524,29,국가보훈대상자 취업능력개발지원,1
524,29,장기복무 제대군인 취업지원,4
524,29,지역공동체 일자리사업,3
524,29,"자활근로(기초, 차상위)",2
524,29,취약계층취업촉진 사업,2
525,37,통합문화이용권,3
525,37,생계급여(맞춤형 급여),2
525,37,이동통신요금감면,4
525,37,의료급여(본인부담 보상금),5
525,37,의료급여본인부담면제,2
526,36,산재근로자 합병증 등 예방관리,3
526,36,고위험 임산부 의료비 지원,4
526,36,산재근로자 사회심리재활지원,5
526,36,산림복지서비스 이용권,2
526,36,차상위 본인부담 경감대상자 지원,1
527,34,다문화 보육료 지원,2
527,34,의료급여,3
527,34,다문화가족 지원사업,4
527,34,외국인근로자 등 의료지원,5
527,34,다문화가족 방문교육 서비스,2
528,38,청소년 방과후 아카데미 운영 지원,3
528,38,이주배경 청소년 지원,4
528,38,다문화 보육료 지원,5
528,38,다문화가족 자녀 언어발달지원서비스,3
528,38,다문화가족 지원사업,2
529,39,희망복지지원단 통합사례관리사업,2
529,39,평생교육바우처,1
529,39,이동통신요금감면,2
529,39,고교학비 지원,4
529,39,방과후학교 자유수강권,5
530,40,장제급여,2
530,40,의료급여,2
530,40,서민층 가스시설 개선,3
530,40,초등돌봄교실,2
530,40,긴급복지 교육지원,4
531,41,장애수당,1
531,41,저소득장애인 진단서 발급비 및 검사비 지원사업,2
531,41,일반형 일자리 지원,3
531,41,발달재활서비스,4
531,41,긴급복지 의료지원 ,5
532,42,기존주택 전세임대주택 지원사업,1
532,42,지역공동체 일자리사업,2
532,42,아동통합서비스지원(드림스타트업),3
532,42,영구임대주택 공급,5
532,42,시간연장형 보육료 지원,2
533,42,저소득층 본인부담금 경감,3
533,42,취약위기가족돌봄지원사업,4
533,42,이동통신요금감면,5
533,42,차상위 본인부담 경감대상자 지원,2
533,42,학교우유급식,1
534,43,고혈압.당뇨병 등록관리사업,1
534,43,긴급복지 해산비 지원,1
534,43,의료급여수급권자 일반건강검진비 지원,2
534,43,요양급여(보조기)-산재보험급여,3
534,43,지역사회서비스 투자사업,4
535,44,제대군인 전직지원금,2
535,44,산림서비스 도우미,4
535,44,지역공동체 일자리사업,2
535,44,국가유공자 등 취업 지원,4
535,44,공공산림가꾸기,1
536,45,웹정보 접근성 제고,5
536,45,아동안전지킴이,2
536,45,취업성공패키지,3
536,45,육아종합지원서비스 제공,4
536,45,근로.자녀장려금,5
537,46,발달장애인 가족휴식지원사업,2
537,46,여성장애인 교육지원,1
537,46,언어발달지원사업,4
537,46,장애인 정보화교육,2
537,46,중도시각장애인 재활훈련지원,5
538,45,중증장애인자립생활지원센터,3
538,45,시간연장형 보육료 지원,2
538,45,교육복지 우선지원사업,1
538,45,청소년 방과후 아카데미 운영 지원,1
538,45,방과후 보육료 지원,2
539,48,여성긴급전화 1366센터 운영지원,3
539,48,가정폭력.성폭력피해자 무료 법률지원,4
539,48,가정폭력상담소 운영지원,5
539,48,폭력피해여성 주거지원 사업,2
539,48,특별현금급여(가족요양비),2
540,47,지역사회 통합건강증진사업,4
540,47,암검진사업,5
540,47,의료급여수급권자 일반건강검진비 지원,5
540,47,저소득층 본인부담금 경감,5
540,47,재난적 의료비 지원 사업,2
